Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6426152274	2.8413419724	2.4104485512
0.6426268266	2.8354241848	2.4125702381
0.6426383689	2.8072724342	2.4226801395
0.6426499507	2.8029160500	2.4242470264
0.6426615165	2.8085360527	2.4222257137
0.6426731006	2.7842826843	2.4309566021
0.6426846749	2.7613492012	2.4392311573
0.6426962345	2.7711782455	2.4356825352
0.6427078140	2.7553451061	2.4414005280
0.6427193866	2.7319803238	2.4498543739
0.6427309876	2.6950271130	2.4632637501
0.6427425458	2.6855726242	2.4667022228
0.6427541134	2.6679160595	2.4731321335
0.6427657119	2.6260523796	2.4884212017
0.6427772568	2.6055181026	2.4959430695
0.6427888331	2.6066281796	2.4955360889
0.6428004076	2.6036963463	2.4966111183
0.6428119810	2.6098299026	2.4943623543
0.6428235541	2.6317753792	2.4863274097
0.6428351427	2.6494901180	2.4798538685
0.6428467115	2.6324636936	2.4860756397
0.6428582833	2.5845286846	2.5036470890
0.6428698622	2.5575103760	2.5135869980
0.6428814357	2.5331659317	2.5225653648
0.6428929934	2.5270884037	2.5248100758
0.6429046003	2.5265972614	2.5249915123
0.6429161432	2.5025086403	2.5339019299
0.6429277418	2.5157277584	2.5290095806
0.6429393106	2.5312612057	2.5232686996
0.6429508678	2.5404818058	2.5198650360
0.6429624377	2.4994904995	2.5350198746
0.6429740349	2.4787335396	2.5427167416
0.6429856099	2.5183582306	2.5280368328
0.6429971722	2.5468554497	2.5175139904
0.6430087331	2.5636250973	2.5113351345
0.6430203165	2.5860888958	2.5030739307
0.6430318889	2.5376079082	2.5209255219
0.6430434740	2.4791362286	2.5425672531
0.6430550480	2.4392704964	2.5573925972
0.6430666084	2.4295110703	2.5610306263
0.6430781845	2.4169619083	2.5657136440
0.6430897755	2.3657948971	2.5848665237
0.6431013423	2.3357083797	2.5961728096
0.6431129107	2.4297201633	2.5609526634
0.6431244779	2.4116508961	2.5676972866
0.6431360587	2.4562125206	2.5510852337
0.6431476501	2.4467394352	2.5546107292
0.6431592122	2.3924601078	2.5748734474
0.6431707845	2.3421912193	2.5937337875
0.6431823519	2.3361124992	2.5960206985
0.6431939192	2.3161911964	2.6035246849
0.6432055119	2.3139004707	2.6043884754
0.6432170655	2.2824888229	2.6162526608
0.6432286568	2.2252960205	2.6379468441
0.6432402168	2.1832165718	2.6539847851
0.6432518070	2.1750254631	2.6571142673
0.6432633617	2.1953947544	2.6493365765
0.6432749458	2.2181859016	2.6406521797
0.6432865317	2.2564063072	2.6261312962
0.6432980959	2.3084979057	2.6064264774
0.6433096706	2.3319914341	2.5975718498
0.6433212432	2.3602745533	2.5869386196
0.6433328115	2.3899588585	2.5758097172
0.6433443932	2.3630259037	2.5859057903
0.6433559750	2.3192255497	2.6023807526
0.6433675589	2.3177223206	2.6029474735
0.6433791261	2.3502731323	2.5906953812
0.6433906760	2.3588502407	2.5874733925
0.6434022622	2.3167388439	2.6033182144
0.6434138308	2.2893416882	2.6136612892
0.6434254317	2.3066415787	2.6071269512
0.6434369862	2.3311593533	2.5978851318
0.6434485596	2.3183774948	2.6027004719
0.6434601416	2.3395836353	2.5947146416
0.6434717274	2.3435416222	2.5932259560
0.6434832741	2.3313460350	2.5978147984
0.6434948439	2.3220741749	2.6013071537
0.6435064186	2.3115944862	2.6052582264
0.6435180221	2.2807254791	2.6169197559
0.6435295803	2.2517619133	2.6278929710
0.6435411528	2.2301592827	2.6360974312
0.6435527192	2.2300012112	2.6361575127
0.6435643184	2.2350344658	2.6342444420
0.6435758734	2.2395803928	2.6325173378
0.6435874504	2.2521722317	2.6277372837
0.6435990135	2.2816278934	2.6165783405
0.6436106040	2.2797253132	2.6172981262
0.6436221901	2.2643737793	2.6231110096
0.6436337480	2.2722392082	2.6201317310
0.6436453367	2.2755799294	2.6188669205
0.6436568872	2.2718191147	2.6202907562
0.6436684663	2.2723908424	2.6200742722
0.6436800298	2.2885835171	2.6139478683
0.6436916189	2.2618768215	2.6240572929
0.6437031926	2.1946077347	2.6496367455
0.6437147610	2.1426539421	2.6695063114
0.6437263524	2.0925581455	2.6887598038
0.6437379155	2.0518603325	2.7044699192
0.6437494985	2.0545649529	2.7034239769
0.6437610563	2.0735230446	2.6960999966
0.6437726309	2.0719838142	2.6966941357
0.6437842067	2.0295352936	2.7131140232
0.6437957854	2.0028932095	2.7234539986
0.6438073406	1.9987803698	2.7250525951
0.6438189154	1.9995959997	2.7247354984
0.6438305111	1.9922760725	2.7275819778
0.6438420964	1.9981014729	2.7253165245
0.6438536523	1.9852681160	2.7303090096
0.6438652119	1.9458748102	2.7456727028
0.6438767993	1.9217351675	2.7551162243
0.6438883604	1.9064846039	2.7610936165
0.6438999398	1.9297633171	2.7519731522
0.6439115407	1.9668984413	2.7374660969
0.6439230901	1.9955236912	2.7263188362
0.6439346752	2.0217723846	2.7161240578
0.6439462356	2.0420181751	2.7082784176
0.6439578061	2.0367681980	2.7103114128
0.6439693906	2.0124604702	2.7197377682
0.6439809607	1.9796942472	2.7324793339
0.6439925564	1.9449614286	2.7460296154
0.6440041167	1.9374275208	2.7489748001
0.6440156954	1.9333881140	2.7505548000
0.6440272555	1.9150265455	2.7577445507
0.6440388356	1.8809750080	2.7711117268
0.6440504288	1.8501441479	2.7832524776
0.6440619869	1.8261964321	2.7927076817
0.6440735668	1.8207428455	2.7948639393
0.6440851351	1.8101876974	2.7990405560
0.6440967092	1.8059897423	2.8007028103
0.6441082859	1.7822674513	2.8101089001
0.6441198512	1.7610137463	2.8185544014
0.6441314300	1.7582594156	2.8196501732
0.6441430091	1.7563923597	2.8203930855
0.6441545664	1.7550840378	2.8209137917
0.6441661465	1.7604072094	2.8187956810
0.6441777189	1.7841336727	2.8093681335
0.6441892895	1.7999680042	2.8030884266
0.6442008799	1.8027828932	2.8019731045
0.6442124568	1.7843589783	2.8092787266
0.6442240367	1.7670794725	2.8161423206
0.6442356132	1.7605289221	2.8187472820
0.6442471539	1.7408756018	2.8265726566
0.6442587433	1.7497149706	2.8230512142
0.6442703124	1.7436965704	2.8254485130
0.6442819059	1.7184176445	2.8355329037
0.6442934628	1.6958248615	2.8445665836
0.6443050436	1.6804006100	2.8507452011
0.6443165970	1.6671826839	2.8560473919
0.6443281876	1.6448663473	2.8650145531
0.6443397792	1.6218954325	2.8742649555
0.6443513347	1.5978069305	2.8839874268
0.6443628954	1.5868694782	2.8884093761
0.6443744847	1.5988967419	2.8835470676
0.6443860471	1.6138484478	2.8775103092
0.6443976335	1.6255153418	2.8728058338
0.6444091960	1.6152845621	2.8769309521
