Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.5953121761	1.5048720837	2.9217095375
0.5953237807	1.4842067957	2.9301435947
0.5953353311	1.4566370249	2.9414217472
0.5953469141	1.4692769051	2.9362473488
0.5953584800	1.4586300850	2.9406054020
0.5953700590	1.4300105572	2.9523425102
0.5953816156	1.4527519941	2.9430134296
0.5953931987	1.4433003664	2.9468882084
0.5954047707	1.4413800240	2.9476759434
0.5954163646	1.4040805101	2.9630045891
0.5954279221	1.4142696857	2.9588117599
0.5954394979	1.4061828852	2.9621391296
0.5954510669	1.3835108280	2.9714815617
0.5954626536	1.3640050888	2.9795355797
0.5954742252	1.3679448366	2.9779076576
0.5954857905	1.3817672729	2.9722008705
0.5954973612	1.3389713764	2.9898943901
0.5955089393	1.3280838728	2.9944074154
0.5955205125	1.3439010382	2.9878525734
0.5955320844	1.3089154959	3.0023643970
0.5955436702	1.3085620403	3.0025112629
0.5955552331	1.3185629845	2.9983577728
0.5955668197	1.2766163349	3.0158054829
0.5955783930	1.2778193951	3.0153040886
0.5955899500	1.2799959183	3.0143971443
0.5956015319	1.2575976849	3.0237395763
0.5956131196	1.2548601627	3.0248827934
0.5956246796	1.2340809107	3.0335702896
0.5956362509	1.2339738607	3.0336151123
0.5956478441	1.2327080965	3.0341448784
0.5956594043	1.2303501368	3.0351319313
0.5956709779	1.2236323357	3.0379452705
0.5956825504	1.2097488642	3.0437653065
0.5956941126	1.2115012407	3.0430302620
0.5957056978	1.2098102570	3.0437395573
0.5957172725	1.1799569130	3.0562806129
0.5957288551	1.1742889881	3.0586657524
0.5957404343	1.1789617538	3.0566992760
0.5957520108	1.1633633375	3.0632669926
0.5957635658	1.1429669857	3.0718698502
0.5957751484	1.1423881054	3.0721142292
0.5957867207	1.1256809235	3.0791740417
0.5957983099	1.1270723343	3.0785856247
0.5958098599	1.1233645678	3.0801537037
0.5958214488	1.1189471483	3.0820226669
0.5958330113	1.0847570896	3.0965149403
0.5958445810	1.0816780329	3.0978224277
0.5958561506	1.0849205256	3.0964455605
0.5958677319	1.0562068224	3.1086533070
0.5958793317	1.0437954664	3.1139404774
0.5958909012	1.0417027473	3.1148326397
0.5959024624	1.0488016605	3.1118071079
0.5959140253	1.0445936918	3.1136002541
0.5959256006	1.0280140638	3.1206724644
0.5959371765	1.0255934000	3.1217060089
0.5959487514	1.0248384476	3.1220283508
0.5959603204	1.0207836628	3.1237602234
0.5959718957	1.0288630724	3.1203100681
0.5959834942	1.0188863277	3.1245708466
0.5959950566	1.0098880529	3.1284172535
0.5960066122	0.9950132370	3.1347830296
0.5960181960	0.9995386004	3.1328454018
0.5960297742	1.0060765743	3.1300475597
0.5960413450	0.9851496220	3.1390092373
0.5960529135	0.9551735520	3.1518776417
0.5960645036	0.9647722244	3.1477530003
0.5960760630	0.9722036719	3.1445622444
0.5960876537	0.9483506083	3.1548118591
0.5960992150	0.9226918221	3.1658637524
0.5961107857	0.9298530817	3.1627764702
0.5961223644	0.9195239544	3.1672301292
0.5961339365	0.8950781226	3.1777882576
0.5961455005	0.8941882849	3.1781730652
0.5961570898	0.8945212960	3.1780290604
0.5961686545	0.8946409225	3.1779773235
0.5961802216	0.8913146257	3.1794159412
0.5961918184	0.8952203989	3.1777267456
0.5962033741	0.8996798396	3.1757988930
0.5962149652	0.8928568959	3.1787488461
0.5962265291	0.8957177401	3.1775116920
0.5962381174	0.8931926489	3.1786036491
0.5962496970	0.8817186952	3.1835687160
0.5962612564	0.8858241439	3.1817915440
0.5962728174	0.8657715917	3.1904785633
0.5962843909	0.8434098363	3.2001857758
0.5962959964	0.8379189372	3.2025725842
0.5963075452	0.8192361593	3.2107031345
0.5963191184	0.8298246861	3.2060933113
