Day fraction since midnight on 	pH probe (pH)	pH probe (pH)
0.6158617844	8.1054801941	7.9472880363
0.6158733514	8.1050567627	7.9468550682
0.6158849415	8.1042776108	7.9460577965
0.6158965111	8.1053838730	7.9471898079
0.6159080805	8.1046113968	7.9463992119
0.6159196527	8.1035337448	7.9452977180
0.6159312197	8.1042709351	7.9460511208
0.6159428121	8.1045331955	7.9463200569
0.6159543811	8.1071281433	7.9489727020
0.6159659480	8.1052474976	7.9470500946
0.6159775150	8.1046676636	7.9464569092
0.6159891051	8.1058721542	7.9476885796
0.6160006741	8.1039991379	7.9457736015
0.6160122410	8.1051120758	7.9469118118
0.6160238311	8.1050043106	7.9468016624
0.6160353981	8.1049232483	7.9467182159
0.6160469651	8.1039724350	7.9457464218
0.6160585320	8.1047677994	7.9465599060
0.6160701222	8.1057767868	7.9475908279
0.6160816942	8.1047992706	7.9465913773
0.6160932628	8.1038885117	7.9456601143
0.6161048298	8.1061296463	7.9479517937
0.6161164199	8.1037597656	7.9455285072
0.6161279891	8.1039590836	7.9457321167
0.6161395585	8.1052799225	7.9470834732
0.6161511254	8.1037368774	7.9455051422
0.6161627155	8.1140861511	7.9560861588
0.6161743056	8.1062288284	7.9480533600
0.6161858726	8.1009445190	7.9426503181
0.6161974423	8.1041069031	7.9458837509
0.6162090093	8.1061887741	7.9480123520
0.6162205784	8.1037063599	7.9454736710
0.6162321454	8.1066007614	7.9484333992
0.6162437375	8.1048736572	7.9466676712
0.6162553068	8.1053304672	7.9471349716
0.6162668754	8.1035594940	7.9453244209
0.6162784446	8.1044759750	7.9462614059
0.6162900347	8.1035509109	7.9453158379
0.6163016033	8.1040153503	7.9457898140
0.6163131754	8.1042318344	7.9460110664
0.6163247444	8.1049051285	7.9466996193
0.6163363114	8.1047163010	7.9465065002
0.6163479015	8.1053829193	7.9471888542
0.6163594730	8.1050491333	7.9468469620
0.6163710422	8.1048126221	7.9466052055
0.6163826112	8.1049070358	7.9467020035
0.6163942013	8.1047906876	7.9465827942
0.6164057683	8.1038303375	7.9456009865
0.6164173608	8.1037273407	7.9454960823
0.6164289046	8.1057605743	7.9475746155
0.6164404947	8.1063966751	7.9482250214
0.6164520636	8.1051692963	7.9469704628
0.6164636561	8.1046533585	7.9464421272
0.6164752231	8.1035919189	7.9453573227
0.6164867901	8.1049222946	7.9467177391
0.6164983571	8.1043701172	7.9461531639
0.6165099240	8.1046943665	7.9464845657
0.6165215141	8.1044454575	7.9462294579
0.6165330834	8.1041212082	7.9458985329
0.6165446504	8.1043033600	7.9460840225
0.6165562405	8.1038551331	7.9456262589
0.6165678075	8.1042470932	7.9460268021
0.6165793744	8.1075325012	7.9493861198
0.6165909414	8.1052360535	7.9470376968
0.6166025315	8.1042623520	7.9460430145
0.6166141010	8.1054420471	7.9472489357
0.6166256679	8.1040554047	7.9458308220
0.6166372580	8.1050233841	7.9468207359
0.6166488290	8.1046285629	7.9464173317
0.6166603960	8.1134109497	7.9553961754
0.6166719630	8.1092576981	7.9511499405
0.6166835531	8.1078157425	7.9496760368
0.6166951200	8.1115560532	7.9534993172
0.6167066870	8.1050977707	7.9468970299
0.6167182771	8.1046743393	7.9464640617
0.6167298441	8.1044225693	7.9462065697
0.6167414111	8.1055917740	7.9474020004
0.6167529839	8.1041631699	7.9459409714
0.6167645574	8.1048707962	7.9466648102
0.6167761475	8.1037521362	7.9455213547
0.6167877145	8.1049070358	7.9467020035
0.6167992814	8.1030092239	7.9447612762
0.6168108503	8.1040124893	7.9457874298
0.6168224405	8.1074171066	7.9492678642
0.6168340118	8.1035108566	7.9452743530
0.6168456055	8.1040716171	7.9458470345
0.6168571493	8.1067285538	7.9485640526
0.6168687394	8.1048936844	7.9466886520
0.6168803064	8.1131763458	7.9551558495
0.6168918734	8.1064805984	7.9483103752
0.6169034634	8.1051712036	7.9469718933
0.6169150329	8.1046619415	7.9464511871
0.6169266041	8.1061058044	7.9479274750
0.6169381711	8.1039638519	7.9457373619
0.6169497380	8.1035976410	7.9453630447
0.6169613281	8.1042318344	7.9460115433
0.6169728951	8.1054468155	7.9472537041
